,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,Katete,-0.78,29.75,62.01,62,100,3.6,UG,1587953139
138,Port Macquarie,-31.43,152.92,73.99,73,95,1.01,AU,1587953139
139,Kavaratti,10.57,72.64,85.51,73,65,9.62,IN,1587953140
140,Montevideo,-34.83,-56.17,62.6,77,75,10.29,UY,1587952890
141,Castro,-24.79,-50.01,59.05,53,14,6.44,BR,1587953140
142,Praia,14.92,-23.51,71.6,73,75,14.99,CV,1587952985
143,Nipawin,53.37,-104.0,51.8,62,90,16.11,CA,1587953141
144,Waipawa,-41.41,175.52,62.6,82,100,20.8,NZ,1587953141
145,Airai,-8.93,125.41,72.05,44,29,3.24,TL,1587953142
146,Mana,5.66,-53.78,76.44,89,99,7.94,GF,1587953142
147,Thompson,55.74,-97.86,44.6,87,90,6.93,CA,1587953034
148,Shar,49.59,81.05,55.0,63,100,6.64,KZ,1587953143
149,Ihosy,-22.4,46.12,63.32,71,60,7.74,MG,1587953143
150,Tonekābon,36.82,50.87,55.4,100,90,2.24,IR,1587953144
151,Catuday,16.29,119.81,84.79,63,12,5.77,PH,1587953144
152,Eyl,7.98,49.82,84.11,75,44,7.23,SO,1587953145
153,Bonfim,3.08,-59.95,81.07,68,90,9.64,BR,1587953145
154,Álamo,20.92,-97.68,75.51,86,31,2.77,MX,1587953145
155,Arrondissement de Morlaix,48.58,-4.0,50.0,93,90,0.27,FR,1587953146
156,Canavieiras,-15.68,-38.95,71.67,86,25,7.78,BR,1587953146
157,Lebu,-37.62,-73.65,56.23,91,91,13.76,CL,1587953147
158,Codrington,-38.27,141.97,60.06,61,59,11.27,AU,1587953132
159,Nikolskoye,59.7,30.79,36.0,80,40,4.47,RU,1587953147
160,Idrinskoye,54.37,92.14,56.44,52,100,0.89,RU,1587953148
161,Ulaangom,49.98,92.07,64.62,19,97,3.98,MN,1587953148
162,Upernavik,72.79,-56.15,29.19,96,100,3.87,GL,1587953148
163,Broome,42.25,-75.83,36.0,85,90,8.05,US,1587953149
164,Norman Wells,65.28,-126.83,32.0,93,40,18.34,CA,1587953149
165,Hirara,24.8,125.28,75.2,69,75,12.75,JP,1587953150
166,Río Gallegos,-51.62,-69.22,33.8,74,0,5.82,AR,1587953150
167,Canby,45.26,-122.69,66.2,45,1,10.29,US,1587953151
168,Āsosa,10.07,34.53,69.62,31,90,2.86,ET,1587953151
169,Butaritari,3.07,172.79,83.03,80,66,19.51,KI,1587953151
170,Lüderitz,-26.65,15.16,60.8,87,36,18.34,NA,1587953152
171,Benguela,-12.58,13.41,76.55,78,49,2.66,AO,1587953152
172,Saskylakh,71.92,114.08,22.44,95,100,10.0,RU,1587953153
173,Sørland,67.67,12.69,36.43,79,6,25.26,NO,1587953153
174,Fairbanks,64.84,-147.72,46.99,22,1,4.7,US,1587953154
175,Tiksi,71.69,128.87,22.64,94,50,18.34,RU,1587953154
176,Muros,42.78,-9.06,54.0,85,90,1.01,ES,1587953155
177,Mbuji-Mayi,-6.15,23.6,71.13,75,100,4.27,CD,1587953155
178,Herat Province,34.5,62.0,69.8,43,75,2.24,AF,1587953155
179,Tasiilaq,65.61,-37.64,32.0,96,100,27.51,GL,1587953155
